"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4"
"25000","Massachusetts",387783.1,388621.4,392885.7,393878.9,395640.7,397196.0,395712.8,402421.0,401854.8,405317.3,409763.6,414959.7,414468.6,417896.7,412762.7,405273.9,404935.2,405823.7,408819.3,412669.1,416511.0,422452.1,428999.9,430362.2,425107.7,439253.1,433302.3,441231.0,441715.3,445298.4,446381.3,443924.1,443178.1,442622.1,446197.1,447466.0,444385.7,449618.6,457432.8,464099.8,466227.6,471877.2,471149.9,475286.4,473462.3,477834.0,482765.3,481782.6,484000.9,488634.2,493803.1,496921.1,500791.6,505668.9,508175.2,509655.4,515184.2,517128.5,519917.7,522644.1
"26000","Michigan",451129.4,452208.8,449399.7,450245.7,444060.5,445310.6,443335.5,440526.8,443890.1,442953.1,442588.0,435162.7,426851.7,423965.4,414066.0,401924.2,376038.1,378263.7,379402.2,386660.7,386620.8,399836.8,409225.2,408082.9,408658.6,407654.0,409000.7,420549.5,418571.8,419046.3,419577.6,418233.9,423800.6,422724.1,424975.5,425779.3,423980.1,431560.3,435240.9,435262.5,437651.1,442409.0,444590.1,445276.9,445963.5,452904.5,453169.7,457037.4,456396.1,457873.4,458999.3,463247.5,468059.3,470249.8,472547.8,471260.0,471390.6,472734.3,474300.7,477012.6
"27000","Minnesota",279679.3,280474.9,285443.1,282778.8,282967.1,284729.6,280167.8,280016.7,279355.3,283804.3,283604.9,286081.5,286912.8,287059.0,289560.5,279636.4,274172.6,273867.3,274579.3,279193.2,278135.3,282224.4,286268.3,292827.8,287665.7,292671.1,290082.9,292101.9,294313.5,294024.8,294904.5,293943.5,296730.5,298433.1,303299.1,304069.6,304021.1,309053.3,312696.0,311186.3,312927.6,311768.0,312924.1,314725.2,313764.2,316684.7,322574.8,323496.0,325431.4,324826.5,323894.9,327138.0,329301.1,333190.0,336527.0,336660.1,336350.8,338002.6,339646.4,341009.2
"28000","Mississippi",94015.6,94198.2,94831.5,97866.7,96356.4,97919.0,98000.5,98717.2,98527.4,98759.8,100760.3,102768.7,104135.4,105977.5,104861.2,102570.6,100448.4,99711.4,98946.3,98745.9,99378.2,100234.1,100435.0,99887.1,98484.3,98502.7,98369.6,99554.3,101053.1,100480.7,99283.7,97640.8,100155.9,98611.2,100668.9,99053.8,98883.8,100779.0,100334.7,100475.6,99674.5,100410.1,100609.2,100276.3,100986.5,100596.3,100251.7,100791.6,101485.8,100995.8,101435.8,102145.3,102013.5,103083.5,103125.6,103126.9,103393.9,103980.6,104458.7,105003.6
"29000","Missouri",259372.6,261193.1,262210.8,263343.9,262985.2,264967.3,262468.0,262512.2,259397.5,263855.1,265773.3,268502.0,267919.2,273012.4,268586.7,272915.0,264410.8,264128.0,265875.4,266826.0,269137.4,269846.8,270363.9,269592.0,265597.9,266488.6,266164.5,268652.3,270102.2,269516.0,267801.1,267626.8,272759.9,271598.1,271750.6,271499.8,268025.6,271993.1,275430.0,277233.5,276346.2,277703.2,277885.7,274866.4,275837.7,275231.3,274717.2,276215.6,275001.8,277554.4,279104.1,281107.3,281771.6,285326.2,286267.8,286330.7,288694.6,290121.0,291857.0,293152.2
"30000","Montana",36793.7,36734.3,37088.4,37692.0,37679.5,38183.1,38721.7,39140.6,39952.9,40416.4,40412.4,40733.7,40590.9,40407.5,40141.9,39505.9,39469.7,39085.5,39543.8,39250.8,40288.2,40416.2,40601.2,40869.9,41125.1,41258.0,41273.4,42235.9,42178.8,41863.6,42014.2,41966.6,42441.3,42360.2,42446.7,42487.0,42414.6,43050.3,43453.2,43776.5,44947.3,45107.0,45097.8,44333.7,44450.4,43862.5,44045.2,44703.6,44638.4,45146.2,45176.0,45156.4,45654.1,46073.8,46333.6,46817.3,46764.2,47055.1,47322.6,47580.9
"31000","Nebraska",87302.1,88181.6,89362.7,90729.4,90056.3,93161.0,90957.0,91374.4,92973.0,93022.0,92895.3,94659.8,94060.8,95527.3,94220.7,90468.2,93341.6,92877.8,94121.6,95858.9,95703.7,97958.1,98652.6,99112.3,101906.3,101894.3,101336.6,104193.6,101677.9,102985.7,101894.7,102517.7,105500.6,105032.1,105228.0,104392.2,106201.4,107359.8,107162.5,107941.1,109112.2,110585.9,110898.4,110706.4,109610.3,110245.7,110998.3,112393.8,111970.5,113440.3,113536.6,113494.3,115025.4,114272.7,113381.0,114000.8,113870.2,114543.2,115183.7,115911.7
"32000","Nevada",136678.4,140495.9,140207.7,141397.4,144320.4,146119.5,145000.0,145397.6,144277.8,143494.0,143901.9,145945.4,142225.5,140010.7,138875.2,134341.9,129916.6,127142.8,125790.8,126119.3,126407.6,128461.2,130031.7,130408.3,128949.8,130954.6,129571.2,129458.4,129196.6,128408.4,127871.8,126695.0,128402.9,127290.5,127988.1,129409.1,128922.5,129198.4,130112.1,131766.7,132657.6,135291.4,136336.1,137431.7,137452.6,137782.8,141683.0,140263.7,142228.3,142858.3,145171.7,144675.1,147678.5,148870.7,150215.3,152355.0,152735.5,153710.7,154582.0,155529.5
"33000","New Hampshire",63867.3,64350.5,64713.7,64494.1,65186.8,65114.1,65679.0,67799.9,65246.9,66520.1,65409.1,65615.4,65817.9,65576.8,65139.9,63532.6,63522.1,63553.5,65289.6,65433.2,65121.7,66845.5,66931.0,66867.8,65923.3,66968.8,66615.9,67852.3,67025.7,67300.4,67841.7,68588.9,68834.1,68607.5,68845.9,68913.2,68227.2,69551.0,69460.5,70940.1,69950.2,71594.4,71547.4,72952.7,72275.4,72893.9,73271.5,72821.7,73342.9,73535.0,74969.4,74628.1,75555.6,75776.5,76214.0,75786.5,77367.1,77629.8,78057.9,78436.4
"34000","New Jersey",509686.4,511460.0,516174.8,516673.5,520380.4,526500.5,523328.6,526015.2,520567.3,526589.3,526516.9,533584.1,539234.8,538725.4,534066.6,520188.2,510431.3,507239.9,511419.8,515507.4,517412.8,515796.5,517944.9,515203.1,506349.8,510230.8,509729.8,517403.7,521666.5,519517.3,522842.7,514956.9,527213.2,521725.9,521301.2,523096.4,520956.0,525132.6,527863.2,528962.2,533330.8,536152.3,536902.4,534811.3,539949.5,538805.6,540764.0,540251.9,539277.3,542817.8,546329.2,545696.0,552188.9,554721.6,557687.9,558422.0,561363.0,562347.5,565530.0,566557.6
